,edad_rango,genero,lugar,arma,presunta_motivacion,fecha_muerte
238,18–29,m,OTROS LOCALES COMERCIALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
239,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
240,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
241,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
242,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
243,30–44,m,CASA/VILLA,ARMA CONTUNDENTE,VIOLENCIA COMUNITARIA,2025-01-12
244,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
245,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-12
246,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-12
247,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-12
248,18–29,m,CASA/VILLA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
249,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
250,18–29,m,RESTAURANTE,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
251,45–64,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
252,18–29,m,HOSPITALES,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-10
253,30–44,m,HACIENDAS,ARMA BLANCA,DELINCUENCIA COMUN,2025-01-12
254,18–29,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-12
255,12–17,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
256,12–17,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
257,18–29,f,CASA/VILLA,ARMA DE FUEGO,VIOLENCIA COMUNITARIA,2025-01-12
258,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
259,30–44,m,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-11
260,30–44,f,VÍA PÚBLICA,ARMA DE FUEGO,DELINCUENCIA COMUN,2025-01-12
